Date,Roll Call Number,Bill Number,Bill Title,E000300,Status
1/23/2025,27,H. R. 21,Born-Alive Abortion Survivors Protection Act,Yea,Passed
1/23/2025,26,H. R. 21,Born-Alive Abortion Survivors Protection Act,Nay,Failed
1/23/2025,25,H. R. 471,Fix Our Forests Act,Yea,Passed
1/23/2025,24,H. R. 375,Continued Rapid Ohia Death Response Act,Yea,Passed
1/22/2025,23,S. 5,Laken Riley Act,Yea,Passed
1/22/2025,22,H. R. 165,Wounded Knee Massacre Memorial and Sacred Site Act,Yea,Passed
1/22/2025,21,H. Res. 53,Providing for consideration of the bill (H.R. 471) the Fix Our Forests Act; and providing for consideration of the bill (S. 5) the Laken Riley Act,Aye,Passed
1/22/2025,20,H. Res. 53,Providing for consideration of the bill (H.R. 471) the Fix Our Forests Act; and providing for consideration of the bill (S. 5) the Laken Riley Act,Yea,Passed
1/21/2025,19,H. R. 187,MAPWaters Act,Yea,Passed
1/21/2025,18,H. R. 186,Hershel “Woody” Williams National Medal of Honor Monument Location Act,Yea,Passed
1/16/2025,17,H. R. 30,Preventing Violence Against Women by Illegal Aliens Act,Yea,Passed
1/16/2025,16,H. R. 30,Preventing Violence Against Women by Illegal Aliens Act,Nay,Failed
1/15/2025,15,H. R. 33,To amend the Internal Revenue Code of 1986 to provide special rules for the taxation of certain residents of Taiwan with income from sources within the United States,Yea,Passed
1/15/2025,14,H. R. 144,Tennessee Valley Authority Salary Transparency Act,Yea,Passed
1/15/2025,13,H. R. 164,POWER Act,Yea,Passed
1/14/2025,12,H. R. 28,Protection of Women and Girls in Sports Act,Yea,Passed
1/14/2025,11,H. R. 28,Protection of Women and Girls in Sports Act,Nay,Failed
1/14/2025,10,H. R. 153,Post-Disaster Assistance Online Accountability Act,Yea,Passed
1/13/2025,9,H. R. 152,Federal Disaster Assistance Coordination Act,Yea,Passed
1/13/2025,8,H. R. 192,Amtrak Executive Bonus Disclosure Act,Yea,Passed
1/9/2025,7,H. R. 23,Illegitimate Court Counteraction Act,Yea,Passed
1/7/2025,6,H. R. 29,Laken Riley Act,Yea,Passed
1/3/2025,5,H. Res. 5,"Adopting the Rules of the House of Representatives for the One Hundred Nineteenth Congress, and for other purposes",Yea,Passed
1/3/2025,4,H. Res. 5,"Adopting the Rules of the House of Representatives for the One Hundred Nineteenth Congress, and for other purposes",Nay,Failed
1/3/2025,3,H. Res. 5,"Adopting the Rules of the House of Representatives for the One Hundred Nineteenth Congress, and for other purposes",Yea,Passed
1/3/2025,2,,,Johnson (LA),Johnson (LA)
1/3/2025,1,QUORUM,,Present,Passed
